market_slug,timestamp_ms,timestamp_et,time_till_end,seconds_till_end,oracle_btc_price,binance_btc_price,lag,binance_ret1s_x100,binance_ret5s_x100,binance_volume_1s,binance_volume_5s,binance_atr_5s,binance_atr_30s,binance_rvol_30s,binance_volma_30s,binance_volume_spike,binance_vwap_30s,binance_p_vwap_5s,binance_p_vwap_30s,lat_dir_raw_x1000,lat_dir_norm_x1000,up_bid_1_price,up_bid_1_size,up_bid_2_price,up_bid_2_size,up_bid_3_price,up_bid_3_size,up_bid_4_price,up_bid_4_size,up_bid_5_price,up_bid_5_size,up_ask_1_price,up_ask_1_size,up_ask_2_price,up_ask_2_size,up_ask_3_price,up_ask_3_size,up_ask_4_price,up_ask_4_size,up_ask_5_price,up_ask_5_size,down_bid_1_price,down_bid_1_size,down_bid_2_price,down_bid_2_size,down_bid_3_price,down_bid_3_size,down_bid_4_price,down_bid_4_size,down_bid_5_price,down_bid_5_size,down_ask_1_price,down_ask_1_size,down_ask_2_price,down_ask_2_size,down_ask_3_price,down_ask_3_size,down_ask_4_price,down_ask_4_size,down_ask_5_price,down_ask_5_size,pm_up_bid_depth5,pm_up_ask_depth5,pm_up_total_depth5,pm_down_bid_depth5,pm_down_ask_depth5,pm_down_total_depth5,pm_up_spread,pm_down_spread,pm_up_imbalance,pm_down_imbalance,pm_up_microprice,pm_down_microprice,pm_up_bid_slope,pm_up_ask_slope,pm_down_bid_slope,pm_down_ask_slope,pm_up_bid_eatflow,pm_up_ask_eatflow,pm_down_bid_eatflow,pm_down_ask_eatflow
btc-updown-15m-1772969400,1772969880363,2026-03-08 07:38:00.363,7:00,420,,,,,,,,,,,,,,,,,,0.06,117.93,0.05,566.67,0.04,549.0,0.03,1233.69,0.02,1790.59,0.08,111.24,0.09,383.5,0.1,351.51,0.11,151.0,0.12,325.6,,,,,,,,,,,,,,,,,,,,,4257.88,1322.85,5580.73,0.0,0.0,0.0,0.020000000000000004,,0.5259222359798809,,0.07029192302657415,,0.1607842400443413,0.37399553993272106,,,,,,
btc-updown-15m-1772969400,1772969880367,2026-03-08 07:38:00.367,7:00,420,,,,,,,,,,,,,,,,,,0.06,117.93,0.05,566.67,0.04,549.0,0.03,1233.69,0.02,1790.59,0.08,111.24,0.09,383.5,0.1,351.51,0.11,151.0,0.12,325.6,0.92,111.24,0.91,383.5,0.9,351.51,0.89,151.0,0.88,325.6,0.94,117.93,0.95,566.67,0.96,549.0,0.97,1233.69,0.98,1790.59,4257.88,1322.85,5580.73,1322.85,4257.88,5580.73,0.020000000000000004,0.019999999999999907,0.5259222359798809,-0.5259222359798809,0.07029192302657415,0.9297080769734257,0.1607842400443413,0.37399553993272106,0.37399553993272106,0.1607842400443413,,,,
btc-updown-15m-1772969400,1772969880404,2026-03-08 07:38:00.404,7:00,420,,,,,,,,,,,,,,,,,,0.06,117.93,0.05,566.67,0.04,549.0,0.03,1233.69,0.02,1790.59,0.08,111.74,0.09,323.5,0.1,290.0,0.11,271.0,0.12,325.6,0.92,111.24,0.91,383.5,0.9,351.51,0.89,151.0,0.88,325.6,0.94,117.93,0.95,566.67,0.96,549.0,0.97,1233.69,0.98,1790.59,4257.88,1321.84,5579.72,1322.85,4257.88,5580.73,0.020000000000000004,0.019999999999999907,0.5261984472339114,-0.5259222359798809,0.07026951713327817,0.9297080769734257,0.1607842400443413,0.32926829268292684,0.37399553993272106,0.1607842400443413,0.0,-24.716569754890585,,
btc-updown-15m-1772969400,1772969880405,2026-03-08 07:38:00.405,7:00,420,,,,,,,,,,,,,,,,,,0.06,117.93,0.05,566.67,0.04,549.0,0.03,1233.69,0.02,1790.59,0.08,111.74,0.09,323.5,0.1,290.0,0.11,271.0,0.12,325.6,0.92,111.74,0.91,323.5,0.9,290.0,0.89,271.0,0.88,325.6,0.94,117.93,0.95,566.67,0.96,549.0,0.97,1233.69,0.98,1790.59,4257.88,1321.84,5579.72,1321.84,4257.88,5579.72,0.020000000000000004,0.019999999999999907,0.5261984472339114,-0.5261984472339114,0.07026951713327817,0.9297304828667218,0.1607842400443413,0.32926829268292684,0.32926829268292684,0.1607842400443413,0.0,-24.716569754890585,-26.467941918876125,0.0
btc-updown-15m-1772969400,1772969880472,2026-03-08 07:38:00.472,7:00,420,,,,,,,,,,,,,,,,,,0.06,117.93,0.05,592.07,0.04,579.0,0.03,1263.69,0.02,1790.59,0.07,44.28,0.08,193.14,0.09,313.5,0.1,260.0,0.11,271.0,0.92,111.74,0.91,323.5,0.9,290.0,0.89,271.0,0.88,325.6,0.94,117.93,0.95,566.67,0.96,549.0,0.97,1233.69,0.98,1790.59,4343.28,1081.92,5425.2,1321.84,4257.88,5579.72,0.010000000000000009,0.019999999999999907,0.6011501880115019,-0.5261984472339114,0.06727020528943962,0.9297304828667218,0.1634709251993885,0.21944321206743564,0.32926829268292684,0.1607842400443413,786.7665370008731,-2219.6213320798715,-26.467941918876125,0.0
btc-updown-15m-1772969400,1772969880472,2026-03-08 07:38:00.472,7:00,420,,,,,,,,,,,,,,,,,,0.06,117.93,0.05,592.07,0.04,579.0,0.03,1263.69,0.02,1790.59,0.07,44.28,0.08,193.14,0.09,313.5,0.1,260.0,0.11,271.0,0.93,44.28,0.92,193.14,0.91,313.5,0.9,260.0,0.89,271.0,0.94,117.93,0.95,592.07,0.96,579.0,0.97,1263.69,0.98,1790.59,4343.28,1081.92,5425.2,1081.92,4343.28,5425.2,0.010000000000000009,0.009999999999999898,0.6011501880115019,-0.6011501880115019,0.06727020528943962,0.9327297947105604,0.1634709251993885,0.21944321206743564,0.21944321206743564,0.1634709251993885,786.7665370008731,-2219.6213320798715,-2277.61311104149,807.3222914661626
btc-updown-15m-1772969400,1772969880490,2026-03-08 07:38:00.490,7:00,420,,,,,,,,,,,,,,,,,,0.06,117.93,0.05,592.07,0.04,579.0,0.03,1263.69,0.02,1790.59,0.07,33.56,0.08,176.14,0.09,313.5,0.1,260.0,0.11,271.0,0.93,44.28,0.92,193.14,0.91,313.5,0.9,260.0,0.89,271.0,0.94,117.93,0.95,592.07,0.96,579.0,0.97,1263.69,0.98,1790.59,4343.28,1054.2,5397.48,1081.92,4343.28,5425.2,0.010000000000000009,0.009999999999999898,0.6093732630783255,-0.6011501880115019,0.06778467225559442,0.9327297947105604,0.1634709251993885,0.19891861126920887,0.21944321206743564,0.1634709251993885,670.3451377582119,-2108.761373053212,-2277.61311104149,807.3222914661626
btc-updown-15m-1772969400,1772969880492,2026-03-08 07:38:00.492,7:00,420,,,,,,,,,,,,,,,,,,0.06,117.93,0.05,592.07,0.04,579.0,0.03,1263.69,0.02,1790.59,0.07,33.56,0.08,176.14,0.09,313.5,0.1,260.0,0.11,271.0,0.93,33.56,0.92,176.14,0.91,313.5,0.9,260.0,0.89,271.0,0.94,117.93,0.95,592.07,0.96,579.0,0.97,1263.69,0.98,1790.59,4343.28,1054.2,5397.48,1054.2,4343.28,5397.48,0.010000000000000009,0.009999999999999898,0.6093732630783255,-0.6093732630783255,0.06778467225559442,0.9322153277444056,0.1634709251993885,0.19891861126920887,0.19891861126920887,0.1634709251993885,670.3451377582119,-2108.761373053212,-2136.113307298577,679.0399272037886
btc-updown-15m-1772969400,1772969880607,2026-03-08 07:38:00.607,7:00,420,,,,,,,,,,,,,,,,,,0.06,101.97,0.05,592.07,0.04,579.0,0.03,1263.69,0.02,1790.59,0.07,46.56,0.08,181.14,0.09,313.5,0.1,260.0,0.11,271.0,0.93,33.56,0.92,176.14,0.91,313.5,0.9,260.0,0.89,271.0,0.94,117.93,0.95,592.07,0.96,579.0,0.97,1263.69,0.98,1790.59,4327.32,1072.2,5399.5199999999995,1054.2,4343.28,5397.48,0.010000000000000009,0.009999999999999898,0.6028535869855098,-0.6093732630783255,0.06686527974146637,0.9322153277444056,0.16038564284591852,0.21236709569110238,0.19891861126920887,0.1634709251993885,285.1022441492115,-1029.1024985023078,-2136.113307298577,679.0399272037886
btc-updown-15m-1772969400,1772969880607,2026-03-08 07:38:00.607,7:00,420,,,,,,,,,,,,,,,,,,0.06,101.97,0.05,592.07,0.04,579.0,0.03,1263.69,0.02,1790.59,0.07,46.56,0.08,181.14,0.09,313.5,0.1,260.0,0.11,271.0,0.93,46.56,0.92,181.14,0.91,313.5,0.9,260.0,0.89,271.0,0.94,101.97,0.95,592.07,0.96,579.0,0.97,1263.69,0.98,1790.59,4327.32,1072.2,5399.5199999999995,1072.2,4327.32,5399.5199999999995,0.010000000000000009,0.009999999999999898,0.6028535869855098,-0.6028535869855098,0.06686527974146637,0.9331347202585336,0.16038564284591852,0.21236709569110238,0.21236709569110238,0.16038564284591852,285.1022441492115,-1029.1024985023078,-1042.5418186974844,288.82546934112486
